Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,53.29,53.91,52.54,52.97,52.97,27884808
2019-01-03,52.23,52.68,50.12,51.07,51.07,32556097
2019-01-04,50.3,54.48,49.78,54.35,54.35,35496863
2019-01-07,54.0,54.1,52.9,53.57,53.57,24033818
2019-01-08,53.35,54.36,53.35,53.98,53.98,12829205
2019-01-09,54.5,56.22,54.1,55.53,55.53,19701098
2019-01-10,55.09,57.24,54.72,56.27,56.27,16368575
2019-01-11,56.2,56.51,55.03,55.95,55.95,13116499
2019-01-14,55.95,55.95,54.11,54.33,54.33,11180550
2019-01-15,54.5,56.49,54.33,56.44,56.44,16121003
2019-01-16,56.43,57.99,55.5,57.47,57.47,17737355
2019-01-17,57.35,58.44,57.12,57.36,57.36,12421406
2019-01-18,57.9,59.78,57.52,59.17,59.17,17839995
2019-01-21,58.96,60.46,58.85,59.07,59.07,15792972
2019-01-22,59.3,59.3,57.05,57.69,57.69,15165957
2019-01-23,57.4,58.38,57.23,58.02,58.02,9013534
2019-01-24,57.9,59.68,57.4,59.38,59.38,12194226
2019-01-25,59.35,59.78,58.81,58.99,58.99,11123213
2019-01-28,57.95,57.95,54.5,54.82,54.82,41575483
2019-01-29,55.01,57.24,54.78,57.18,57.18,26740342
2019-01-30,57.0,58.48,56.83,57.4,57.4,14405342
2019-01-31,58.24,59.45,57.59,59.05,59.05,18500062
2019-02-01,59.94,60.87,58.84,60.82,60.82,17380401
2019-02-11,60.07,62.16,59.79,61.85,61.85,16245595
2019-02-12,62.5,64.23,62.0,63.5,63.5,21353911
2019-02-13,64.0,65.99,64.0,65.59,65.59,20888237
2019-02-14,65.5,66.15,64.9,65.8,65.8,15767941
2019-02-15,65.22,65.75,63.91,64.29,64.29,13729632
2019-02-18,66.3,67.65,66.0,66.83,66.83,24094581
2019-02-19,66.8,67.47,65.6,65.93,65.93,19681526
2019-02-20,65.6,65.93,64.08,64.95,64.95,17607700
2019-02-21,65.06,66.5,65.0,65.44,65.44,15913469
2019-02-22,65.77,66.3,64.6,66.3,66.3,11944541
2019-02-25,66.0,68.9,65.8,68.5,68.5,35675506
2019-02-26,67.69,73.44,67.31,68.0,68.0,36860897
2019-02-27,67.95,70.28,67.77,68.8,68.8,19179533
2019-02-28,68.8,72.2,68.52,71.9,71.9,28268421
2019-03-01,72.8,73.0,70.88,72.0,72.0,20738740
2019-03-04,72.41,74.0,71.67,72.27,72.27,27097079
2019-03-05,72.12,72.88,71.6,72.12,72.12,15971983
2019-03-06,72.2,72.8,70.4,71.25,71.25,20751209
2019-03-07,71.24,71.24,69.75,70.38,70.38,20209276
2019-03-08,69.0,71.45,68.65,69.66,69.66,20154861
2019-03-11,70.01,70.88,69.3,70.3,70.3,19645042
2019-03-12,71.3,71.54,69.38,69.81,69.81,18671086
2019-03-13,69.87,70.65,69.4,69.88,69.88,16647061
2019-03-14,70.18,71.11,69.73,70.06,70.06,18875534
2019-03-15,70.3,72.81,69.75,71.52,71.52,25605831
2019-03-18,72.2,75.05,71.14,74.1,74.1,29163100
2019-03-19,73.95,73.96,71.64,72.1,72.1,23528983
2019-03-20,71.66,73.0,71.16,72.72,72.72,17086417
2019-03-21,73.03,73.56,71.88,72.4,72.4,12572709
2019-03-22,72.9,73.49,72.05,73.13,73.13,13484402
2019-03-25,72.1,73.1,71.18,71.2,71.2,17886115
2019-03-26,71.9,72.48,70.86,71.55,71.55,12969187
2019-03-27,72.14,75.55,72.14,74.36,74.36,34462927
2019-03-28,61.68,65.45,61.0,64.65,64.65,25554847
2019-03-29,63.88,66.01,62.65,65.42,65.42,29450544
2019-04-01,66.0,67.95,65.46,65.75,65.75,26429020
2019-04-02,66.0,66.01,64.6,65.28,65.28,19915646
2019-04-03,65.25,65.93,64.91,65.58,65.58,16646506
2019-04-04,65.5,66.25,64.9,66.14,66.14,17899218
2019-04-08,66.5,66.5,63.45,63.98,63.98,32009382
2019-04-09,63.53,65.1,62.6,64.82,64.82,25780062
2019-04-10,64.96,67.03,64.01,65.73,65.73,32611048
2019-04-11,65.73,66.5,63.8,63.98,63.98,25021674
2019-04-12,64.3,65.12,63.53,64.62,64.62,15714009
2019-04-15,65.62,65.98,63.13,63.35,63.35,19756464
2019-04-16,63.34,64.86,63.05,64.86,64.86,16408552
2019-04-17,65.5,65.5,64.21,64.53,64.53,15363146
2019-04-18,64.75,64.75,63.77,64.13,64.13,10178921
2019-04-19,64.0,65.08,63.78,64.45,64.45,12729541
2019-04-22,64.3,64.4,62.07,62.14,62.14,26908168
2019-04-23,62.08,63.55,62.01,62.84,62.84,19038105
2019-04-24,63.26,63.69,62.5,62.85,62.85,14705218
2019-04-25,63.03,64.87,62.9,63.9,63.9,26476653
2019-04-26,63.01,63.81,61.6,62.33,62.33,20322183
2019-04-29,62.48,66.44,62.48,65.32,65.32,41273997
2019-04-30,65.0,66.3,64.64,65.75,65.75,19451914
2019-05-06,65.0,65.0,63.02,64.2,64.2,34803333
2019-05-07,64.8,68.48,64.52,66.14,66.14,42423209
2019-05-08,64.57,65.6,64.0,64.23,64.23,23515083
2019-05-09,63.7,64.75,62.0,62.5,62.5,21181572
2019-05-10,63.38,64.3,61.36,64.12,64.12,21977416
2019-05-13,63.4,64.76,62.71,64.17,64.17,13776585
2019-05-14,63.84,65.66,63.0,63.03,63.03,23462721
2019-05-15,63.53,65.41,63.51,65.41,65.41,30036968
2019-05-16,64.89,65.18,63.72,64.28,64.28,28426945
2019-05-17,63.8,63.96,62.6,62.76,62.76,29514841
2019-05-20,62.7,63.47,59.66,60.25,60.25,31905572
2019-05-21,60.26,61.55,60.26,60.81,60.81,19241815
2019-05-22,60.8,61.6,60.1,61.06,61.06,15754121
2019-05-23,61.0,61.0,59.58,59.61,59.61,16112492
2019-05-24,59.87,60.7,59.65,60.07,60.07,11423232
2019-05-27,60.15,61.6,59.0,61.2,61.2,17843323
2019-05-28,61.2,62.68,61.11,62.52,62.52,24488987
2019-05-29,62.0,62.57,61.59,61.91,61.91,10688225
2019-05-30,61.2,61.99,60.82,61.91,61.91,11106174
2019-05-31,62.9,63.88,62.16,62.16,62.16,18045708
2019-06-03,62.36,63.5,62.26,63.22,63.22,19651013
2019-06-04,63.35,63.68,61.5,62.03,62.03,16246224
2019-06-05,62.0,62.36,58.89,59.0,59.0,36123665
2019-06-06,59.05,59.39,57.18,57.98,57.98,24478257
2019-06-10,57.97,59.37,57.38,58.63,58.63,16498764
2019-06-11,58.99,60.33,58.71,60.12,60.12,23663690
2019-06-12,59.97,60.83,59.1,60.35,60.35,15829208
2019-06-13,60.8,61.75,60.0,61.3,61.3,15296981
2019-06-14,61.4,62.48,61.0,61.28,61.28,17568821
2019-06-17,61.95,62.48,61.5,61.6,61.6,13857881
2019-06-18,62.0,62.83,61.86,62.59,62.59,14097498
2019-06-19,63.68,65.11,63.68,64.38,64.38,27449992
2019-06-20,64.7,66.0,64.03,65.51,65.51,26479412
2019-06-21,65.4,66.63,65.34,65.9,65.9,19274273
2019-06-24,66.41,66.95,65.58,66.06,66.06,15776370
2019-06-25,66.13,67.16,65.09,66.03,66.03,15884665
2019-06-26,66.2,66.98,65.7,66.5,66.5,13042383
2019-06-27,66.34,67.58,66.34,66.9,66.9,14611595
2019-06-28,66.9,66.9,64.75,66.0,66.0,18928077
2019-07-01,67.0,68.63,66.98,68.23,68.23,22234793
2019-07-02,68.0,70.47,67.9,70.21,70.21,29629142
2019-07-03,70.0,70.0,68.02,68.37,68.37,21941361
2019-07-04,68.37,68.5,65.7,66.11,66.11,26537594
2019-07-05,66.35,67.9,66.25,67.4,67.4,16737353
2019-07-08,66.67,67.78,66.0,66.5,66.5,14792376
2019-07-09,66.94,67.4,66.27,66.48,66.48,10145935
2019-07-10,67.06,68.33,66.6,67.41,67.41,14331436
2019-07-11,67.7,67.95,66.4,66.66,66.66,11491676
2019-07-12,66.49,67.39,66.1,66.45,66.45,11345490
2019-07-15,66.89,67.73,65.55,67.38,67.38,18226099
2019-07-16,67.2,67.5,66.05,66.06,66.06,12206046
2019-07-17,66.11,66.82,65.28,66.24,66.24,9418783
2019-07-18,66.1,66.43,65.65,66.02,66.02,8908442
2019-07-19,66.5,67.02,65.85,66.02,66.02,14734897
2019-07-22,65.99,67.02,65.35,66.54,66.54,12089706
2019-07-23,66.54,66.81,65.8,66.05,66.05,9537582
2019-07-24,66.42,66.92,66.06,66.6,66.6,10810759
2019-07-25,66.59,66.99,66.4,66.72,66.72,9320285
2019-07-26,66.45,67.16,66.45,66.82,66.82,12043875
2019-07-29,66.82,67.45,66.2,66.65,66.65,10460282
2019-07-30,66.75,67.25,66.63,66.96,66.96,10035062
2019-07-31,66.4,66.99,65.67,66.94,66.94,14649341
2019-08-01,66.6,67.34,66.48,66.73,66.73,10449930
2019-08-02,65.73,66.53,65.19,66.04,66.04,13784917
2019-08-05,65.7,65.99,63.91,64.1,64.1,19605653
2019-08-06,63.0,65.42,61.85,64.74,64.74,18362952
2019-08-07,65.0,65.98,64.7,65.5,65.5,13890148
2019-08-08,65.88,66.8,65.88,66.66,66.66,12191276
2019-08-09,67.08,67.81,66.69,66.88,66.88,16416956
2019-08-12,66.73,67.32,66.65,67.25,67.25,11206331
2019-08-13,67.25,67.64,66.9,67.06,67.06,11763681
2019-08-14,67.59,69.4,67.59,68.69,68.69,24288755
2019-08-15,68.05,69.3,68.0,69.0,69.0,21533166
2019-08-16,69.0,69.7,68.33,69.12,69.12,16998720
2019-08-19,69.51,72.15,69.3,71.94,71.94,24732760
2019-08-20,71.95,72.45,71.1,71.96,71.96,12914115
2019-08-21,72.2,72.3,70.96,71.71,71.71,10997862
2019-08-22,72.99,72.99,71.2,71.73,71.73,12523042
2019-08-23,72.5,77.8,72.3,76.6,76.6,35286396
2019-08-26,76.06,76.61,75.17,75.55,75.55,25595206
2019-08-27,76.1,77.78,75.6,75.8,75.8,29495321
2019-08-28,76.05,77.83,75.51,77.12,77.12,21912985
2019-08-29,76.03,78.1,75.7,76.94,76.94,18737278
2019-08-30,77.88,80.56,77.5,80.05,80.05,28779760
2019-09-02,80.49,80.68,78.83,79.61,79.61,22096641
2019-09-03,79.73,79.86,78.0,78.5,78.5,23575389
2019-09-04,78.78,79.49,77.31,78.28,78.28,18116779
2019-09-05,78.79,78.96,78.0,78.48,78.48,17726859
2019-09-06,79.14,80.18,77.8,80.11,80.11,20220556
2019-09-09,80.23,80.23,78.33,79.25,79.25,18028543
2019-09-10,79.56,81.25,79.15,80.57,80.57,19532212
2019-09-11,80.35,80.35,77.3,78.09,78.09,23722886
2019-09-12,78.48,78.95,77.58,78.6,78.6,12369321
2019-09-16,79.4,80.47,78.5,79.76,79.76,14850111
2019-09-17,79.6,80.38,78.82,79.03,79.03,11318386
2019-09-18,79.0,80.1,78.68,79.81,79.81,15819986
2019-09-19,80.16,81.37,79.47,80.14,80.14,17037973
2019-09-20,80.14,83.44,80.0,81.5,81.5,26180800
2019-09-23,82.04,82.04,80.58,81.1,81.1,16725703
2019-09-24,81.0,83.38,80.75,82.5,82.5,21748171
2019-09-25,82.14,83.78,81.58,82.83,82.83,16940741
2019-09-26,83.5,83.83,81.06,81.31,81.31,14984018
2019-09-27,81.4,82.0,80.66,81.05,81.05,12505615
2019-09-30,80.8,82.4,80.55,80.68,80.68,12338188
2019-10-08,80.12,81.65,80.12,80.35,80.35,16299010
2019-10-09,80.35,80.36,77.57,78.69,78.69,22392766
2019-10-10,78.78,83.37,78.7,83.0,83.0,26356951
2019-10-11,83.9,84.3,82.62,83.39,83.39,15187150
2019-10-14,83.82,84.9,82.68,83.56,83.56,19342294
2019-10-15,84.17,85.95,83.74,85.25,85.25,15496587
2019-10-16,85.6,86.34,84.25,85.97,85.97,14353529
2019-10-17,86.24,86.86,84.6,85.8,85.8,12652563
2019-10-18,85.8,85.88,83.66,84.27,84.27,15606285
2019-10-21,84.26,84.7,81.8,82.61,82.61,19914870
2019-10-22,83.4,83.82,82.53,83.69,83.69,10157901
2019-10-23,83.5,84.42,82.56,82.78,82.78,11495770
2019-10-24,83.2,83.48,81.65,82.71,82.71,12117866
2019-10-25,85.1,87.57,85.07,87.54,87.54,41935416
2019-10-28,87.37,91.15,87.21,91.08,91.08,25188619
2019-10-29,90.79,91.56,90.19,90.76,90.76,13997271
2019-10-30,91.73,91.75,89.55,90.18,90.18,14374439
2019-10-31,91.0,92.66,89.88,90.88,90.88,16923463
2019-11-01,90.72,92.5,90.45,92.5,92.5,17534764
2019-11-04,92.5,93.0,91.55,92.2,92.2,17163494
2019-11-05,92.0,92.16,90.48,91.3,91.3,17647018
2019-11-06,91.35,91.9,90.5,91.19,91.19,12738308
2019-11-07,91.49,91.87,90.41,90.58,90.58,15149654
2019-11-08,91.5,92.92,90.88,91.3,91.3,16278107
2019-11-11,90.81,90.81,88.0,88.88,88.88,26100377
2019-11-12,89.45,89.91,88.09,89.67,89.67,15916592
2019-11-13,89.58,92.0,88.36,91.39,91.39,20985411
2019-11-14,92.0,94.99,92.0,94.33,94.33,25129668
2019-11-15,94.1,94.65,92.69,92.7,92.7,14210719
2019-11-18,93.7,93.85,92.3,92.9,92.9,10851051
2019-11-19,92.9,95.63,92.7,95.63,95.63,20028328
2019-11-20,95.02,96.47,94.51,95.0,95.0,15291982
2019-11-21,95.0,95.0,91.8,92.6,92.6,23938270
