Date,Open,High,Low,Close,Adj Close,Volume
2022-08-12,70.0,73.8,60.1,60.1,60.1,119133625
2022-08-15,57.0,61.19,56.7,56.82,56.82,59475630
2022-08-16,56.0,61.66,55.01,60.69,60.69,45226222
2022-08-17,60.35,61.86,56.8,57.64,57.64,30965039
2022-08-18,57.02,58.79,55.5,57.65,57.65,20379982
2022-08-19,58.01,59.1,54.02,54.26,54.26,19856238
2022-08-22,54.0,56.96,53.95,56.35,56.35,17120114
2022-08-23,55.93,60.83,55.8,59.87,59.87,21665593
2022-08-24,59.3,60.96,57.23,58.75,58.75,12285793
2022-08-25,59.01,59.3,54.35,55.3,55.3,13214891
2022-08-26,54.81,55.94,50.0,50.2,50.2,21365287
2022-08-29,49.04,51.27,48.69,49.09,49.09,11626638
2022-08-30,49.02,52.77,48.92,51.74,51.74,16427156
2022-08-31,52.0,53.76,50.0,50.18,50.18,12120606
2022-09-01,57.1,59.8,53.85,54.47,54.47,44421194
2022-09-02,54.91,59.8,54.91,56.1,56.1,26976389
2022-09-05,55.1,55.62,51.27,52.17,52.17,20327715
2022-09-06,52.95,53.58,51.34,53.3,53.3,12381516
2022-09-07,53.6,57.29,53.3,54.87,54.87,14913190
2022-09-08,54.86,57.2,54.51,56.62,56.62,12792981
2022-09-09,57.01,57.48,54.92,55.8,55.8,6704055
2022-09-13,56.19,58.22,55.58,55.81,55.81,7799766
2022-09-14,55.0,59.49,54.33,59.21,59.21,14025063
2022-09-15,58.51,61.4,55.8,56.2,56.2,16768023
2022-09-16,55.89,65.2,55.67,62.6,62.6,27395163
2022-09-19,62.6,68.03,62.08,62.87,62.87,21933351
2022-09-20,63.5,64.88,61.01,62.71,62.71,11899013
2022-09-21,62.5,63.0,60.06,60.81,60.81,10193140
2022-09-22,60.58,65.59,60.4,63.34,63.34,11563234
2022-09-23,62.79,64.34,60.8,61.12,61.12,10718889
2022-09-26,60.31,62.36,59.33,60.3,60.3,9431701
2022-09-27,60.3,61.75,58.11,61.75,61.75,10398608
2022-09-28,60.8,61.05,57.37,58.19,58.19,10687492
2022-09-29,58.92,61.58,58.0,60.9,60.9,10062079
2022-09-30,60.78,61.98,58.81,58.82,58.82,7163333
2022-10-10,55.9,55.9,47.06,47.06,47.06,17192303
2022-10-11,45.97,46.45,37.73,38.0,38.0,42514760
2022-10-12,37.19,39.03,36.22,38.55,38.55,34500124
2022-10-13,37.8,40.64,37.45,38.8,38.8,27786701
2022-10-14,39.2,39.46,37.49,38.92,38.92,26473453
2022-10-17,38.11,41.2,38.03,40.58,40.58,31442274
2022-10-18,40.15,40.49,39.35,39.76,39.76,17666665
2022-10-19,39.49,40.17,37.6,37.8,37.8,21493781
2022-10-20,37.4,41.86,37.2,39.7,39.7,38089292
2022-10-21,39.0,39.0,37.8,38.35,38.35,20923505
2022-10-24,38.35,39.99,38.29,38.8,38.8,20343718
2022-10-25,38.59,39.76,37.76,38.89,38.89,16350062
2022-10-26,39.11,40.3,38.1,39.94,39.94,23138719
2022-10-27,40.45,40.5,38.68,39.4,39.4,25173627
2022-10-28,39.26,40.37,38.8,38.95,38.95,21378750
2022-10-31,39.18,46.29,39.11,44.68,44.68,40248329
2022-11-01,44.0,46.15,43.89,45.07,45.07,23373920
2022-11-02,45.09,46.2,44.21,44.58,44.58,18341068
2022-11-03,44.57,45.47,43.61,44.91,44.91,18195328
2022-11-04,44.11,44.87,43.1,44.34,44.34,19257466
2022-11-07,44.0,44.25,42.58,43.59,43.59,19138619
2022-11-08,43.58,48.13,43.58,47.03,47.03,31993667
2022-11-09,47.0,50.37,46.97,49.39,49.39,25901582
2022-11-10,48.7,49.3,46.09,46.25,46.25,19736091
2022-11-11,47.88,47.9,46.01,46.6,46.6,14390587
2022-11-14,46.68,46.8,44.54,45.6,45.6,11937612
2022-11-15,45.6,48.55,45.13,47.56,47.56,13827590
2022-11-16,47.95,47.95,45.56,45.77,45.77,11987054
2022-11-17,45.46,47.38,44.7,46.89,46.89,11383354
2022-11-18,46.51,47.38,45.42,45.75,45.75,9000789
2022-11-21,45.11,46.39,45.11,45.74,45.74,6045714
2022-11-22,45.68,46.98,45.0,45.53,45.53,9095430
2022-11-23,45.58,45.91,41.99,43.6,43.6,14601665
2022-11-24,43.56,44.67,43.42,43.98,43.98,7556608
2022-11-25,43.6,45.15,43.02,43.46,43.46,7923905
2022-11-28,42.7,43.59,41.66,41.91,41.91,9961786
2022-11-29,41.85,42.72,41.58,42.12,42.12,8446791
2022-11-30,42.18,42.3,41.06,41.44,41.44,8475504
2022-12-01,42.09,43.5,41.96,42.71,42.71,10637205
2022-12-02,42.4,44.5,42.31,43.25,43.25,9510821
2022-12-05,43.88,44.17,42.92,43.65,43.65,6706085
2022-12-06,43.15,46.5,43.15,45.07,45.07,13244351
2022-12-07,45.0,45.74,44.58,45.2,45.2,6987422
2022-12-08,45.0,46.15,44.6,45.28,45.28,7556530
2022-12-09,45.14,46.77,45.04,45.75,45.75,12336370
2022-12-12,45.36,47.35,44.95,46.21,46.21,8902193
2022-12-13,46.03,46.33,44.8,44.89,44.89,6796636
2022-12-14,46.42,46.65,44.6,44.61,44.61,6806794
2022-12-15,44.26,45.63,44.12,44.24,44.24,6114217
2022-12-16,44.26,44.26,42.85,43.11,43.11,6226726
2022-12-19,43.05,43.28,41.6,41.84,41.84,4817118
2022-12-20,41.96,42.42,41.43,41.83,41.83,3675107
2022-12-21,41.83,41.84,40.2,40.51,40.51,4578371
2022-12-22,40.8,40.96,39.7,39.76,39.76,3739417
2022-12-23,39.6,40.38,39.25,40.08,40.08,4174819
2022-12-26,40.08,41.56,40.06,41.2,41.2,4632977
2022-12-27,41.22,41.7,40.55,41.33,41.33,4279635
2022-12-28,41.3,41.3,40.32,40.48,40.48,2904206
2022-12-29,40.6,41.13,40.08,40.6,40.6,3400797
2022-12-30,40.84,41.18,40.08,40.12,40.12,3035871
2023-01-03,40.8,42.45,40.23,42.02,42.02,10156035
2023-01-04,42.15,42.88,41.0,41.05,41.05,7127159
2023-01-05,41.01,41.66,40.4,41.47,41.47,7097100
2023-01-06,41.29,43.43,41.01,42.37,42.37,10236740
2023-01-09,42.38,42.96,41.24,41.99,41.99,5645296
2023-01-10,42.33,43.28,42.03,42.21,42.21,4760041
2023-01-11,42.16,43.04,41.43,41.49,41.49,5411156
2023-01-12,41.53,41.59,40.63,40.71,40.71,5112671
2023-01-13,40.86,41.17,40.2,40.62,40.62,4229160
2023-01-16,40.4,41.88,40.3,41.61,41.61,6798306
2023-01-17,42.48,42.8,40.3,41.8,41.8,9272945
2023-01-18,41.9,42.5,41.13,41.99,41.99,7488689
2023-01-19,41.75,45.44,41.74,44.9,44.9,15061008
2023-01-20,44.64,45.4,44.41,44.98,44.98,7104606
2023-01-30,45.3,45.6,43.98,44.2,44.2,7953849
2023-01-31,44.1,44.47,42.63,43.01,43.01,8731889
2023-02-01,43.11,43.88,42.86,43.8,43.8,6521100
2023-02-02,44.22,46.8,44.11,45.78,45.78,15271859
2023-02-03,45.47,47.7,44.75,47.68,47.68,13827056
2023-02-06,47.77,50.02,46.38,49.1,49.1,22382702
2023-02-07,48.4,51.51,48.19,49.66,49.66,16643405
2023-02-08,49.99,50.78,47.1,47.23,47.23,12611675
2023-02-09,46.99,55.3,46.46,53.51,53.51,25652346
2023-02-10,53.0,53.5,50.44,50.59,50.59,19174837
2023-02-13,51.0,54.72,50.3,52.52,52.52,22827718
2023-02-14,53.83,55.36,52.49,53.17,53.17,19995512
2023-02-15,53.16,57.01,51.37,56.21,56.21,25229176
2023-02-16,55.03,56.68,50.91,51.5,51.5,25265968
2023-02-17,51.2,51.96,48.0,48.43,48.43,18698443
2023-02-20,48.51,52.48,48.03,51.9,51.9,19512588
2023-02-21,51.18,52.19,49.01,49.99,49.99,15347519
2023-02-22,49.5,50.97,49.01,50.17,50.17,10058181
2023-02-23,50.32,51.43,49.6,50.18,50.18,10337473
2023-02-24,51.0,55.18,51.0,52.03,52.03,26321697
2023-02-27,52.03,52.69,49.6,50.48,50.48,17493609
2023-02-28,51.6,53.35,50.3,51.88,51.88,16999869
2023-03-01,51.4,54.4,51.4,53.5,53.5,19242737
2023-03-02,52.98,54.35,52.51,53.03,53.03,14756757
2023-03-03,54.09,56.66,50.88,55.31,55.31,35490448
2023-03-06,54.9,56.99,54.22,55.39,55.39,25829321
2023-03-07,54.75,55.28,52.18,52.26,52.26,17592305
2023-03-08,52.31,53.79,52.25,53.16,53.16,11641059
2023-03-09,52.88,53.94,51.73,52.89,52.89,12756681
2023-03-10,52.5,53.82,52.35,52.35,52.35,12375061
2023-03-13,51.99,53.8,51.8,53.55,53.55,11540251
2023-03-14,52.97,56.0,52.83,55.0,55.0,18935935
2023-03-15,55.41,55.78,53.5,53.63,53.63,12214280
2023-03-16,52.87,54.17,52.5,53.03,53.03,8866895
2023-03-17,53.9,59.58,53.72,57.5,57.5,28810286
2023-03-20,57.78,62.4,56.92,60.42,60.42,26259928
2023-03-21,60.11,63.38,58.99,61.6,61.6,22530673
2023-03-22,61.18,66.9,60.0,65.93,65.93,26010186
2023-03-23,64.6,70.44,63.8,66.2,66.2,30018975
2023-03-24,66.87,68.18,63.8,66.25,66.25,25566062
2023-03-27,65.2,67.5,60.6,63.26,63.26,35621836
2023-03-28,64.15,66.55,62.5,64.9,64.9,29420458
2023-03-29,64.03,77.88,64.0,74.5,74.5,57175949
2023-03-30,75.16,81.5,74.13,76.5,76.5,53166112
2023-03-31,75.0,77.77,71.8,77.17,77.17,40805292
2023-04-03,77.4,87.27,76.3,84.8,84.8,43563012
2023-04-04,82.2,90.9,80.8,85.88,85.88,36598984
2023-04-06,83.38,87.58,80.99,81.23,81.23,33733505
2023-04-07,82.07,83.47,79.7,81.65,81.65,24152646
2023-04-10,80.5,81.63,73.62,74.8,74.8,36819589
2023-04-11,75.61,77.02,71.95,76.0,76.0,28457504
2023-04-12,75.39,84.5,73.78,82.69,82.69,39422530
2023-04-13,81.0,83.95,75.18,76.22,76.22,30601158
2023-04-14,78.12,78.45,73.1,77.04,77.04,25692358
2023-04-17,76.5,81.5,75.2,80.13,80.13,23928710
2023-04-18,79.0,84.5,76.15,82.6,82.6,30598442
2023-04-19,82.0,99.0,82.0,90.55,90.55,47687417
2023-04-20,93.8,98.5,91.48,97.3,97.3,38232090
2023-04-21,95.15,95.15,88.18,91.39,91.39,30396102
2023-04-24,91.39,91.74,84.57,89.27,89.27,26143439
2023-04-25,89.0,102.0,86.71,98.75,98.75,38669637
2023-04-26,97.0,101.29,88.7,92.49,92.49,34412708
2023-04-27,90.08,95.0,84.35,87.3,87.3,30543673
2023-04-28,87.01,95.0,86.5,94.15,94.15,27101882
2023-05-04,92.66,94.97,88.91,92.15,92.15,17355077
2023-05-05,92.08,98.99,89.3,92.24,92.24,23336494
2023-05-08,91.8,94.2,85.84,88.66,88.66,17965549
2023-05-09,88.67,93.0,85.88,88.9,88.9,17379548
2023-05-10,87.28,89.86,76.8,77.49,77.49,33203166
2023-05-11,77.77,78.95,75.5,75.95,75.95,17526488
2023-05-12,75.95,78.18,74.42,74.42,74.42,13121997
2023-05-15,75.0,76.98,72.5,76.5,76.5,15471458
2023-05-16,76.0,77.39,74.08,74.17,74.17,14143355
2023-05-17,73.88,78.39,73.68,76.83,76.83,15484682
2023-05-18,78.0,83.41,77.83,81.33,81.33,21377588
2023-05-19,82.19,87.68,80.9,80.9,80.9,19324060
2023-05-22,79.82,83.26,76.64,78.01,78.01,14697707
2023-05-23,77.49,78.35,76.31,77.27,77.27,7675101
2023-05-24,76.48,79.66,74.68,76.83,76.83,13934561
2023-05-25,81.2,83.45,76.8,81.0,81.0,19036963
2023-05-26,80.38,87.9,79.9,86.51,86.51,25016389
2023-05-29,88.81,89.39,84.7,86.37,86.37,17146636
2023-05-30,85.01,92.0,84.64,90.92,90.92,18753685
2023-05-31,89.95,93.52,89.3,92.73,92.73,14677356
2023-06-01,90.88,94.88,86.12,87.3,87.3,22750606
2023-06-02,88.0,88.88,82.21,83.2,83.2,26392267
2023-06-05,83.11,84.45,82.28,83.5,83.5,14131072
2023-06-06,82.62,83.58,78.06,79.39,79.39,16492708
2023-06-07,79.32,81.01,77.17,79.88,79.88,12355407
2023-06-08,78.5,78.65,75.6,77.25,77.25,14833434
2023-06-09,77.47,78.43,73.06,77.81,77.81,21291540
2023-06-12,77.79,81.1,77.75,78.39,78.39,18523219
2023-06-13,78.82,82.32,73.89,80.78,80.78,27289325
2023-06-14,79.71,82.64,78.01,81.48,81.48,22066544
2023-06-15,81.38,81.99,75.58,75.78,75.78,21340775
2023-06-16,74.98,77.52,72.01,77.08,77.08,21496221
2023-06-19,76.95,80.84,75.28,80.01,80.01,24179651
2023-06-20,81.68,84.49,77.4,83.97,83.97,33139341
2023-06-21,82.12,82.3,76.4,76.4,76.4,21287204
2023-06-26,74.0,75.98,69.0,69.44,69.44,22106950
2023-06-27,69.39,70.5,68.6,68.72,68.72,10526061
2023-06-28,73.0,74.0,68.92,70.0,70.0,19634999
2023-06-29,70.0,70.47,66.7,68.01,68.01,16262480
2023-06-30,67.01,69.78,66.88,68.27,68.27,12524838
2023-07-03,68.11,70.45,66.01,69.6,69.6,13811613
2023-07-04,69.17,71.99,68.56,71.15,71.15,13501722
2023-07-05,71.17,71.5,69.21,69.29,69.29,8504015
2023-07-06,68.8,71.18,68.7,69.5,69.5,8031311
2023-07-07,68.9,69.46,66.81,67.05,67.05,7771918
2023-07-10,68.2,71.35,67.79,70.35,70.35,15190578
2023-07-11,71.17,79.83,71.17,77.8,77.8,33197508
2023-07-12,78.3,79.0,74.5,74.94,74.94,16990048
2023-07-13,76.5,77.41,74.0,76.94,76.94,17570171
2023-07-14,76.99,81.88,76.99,78.4,78.4,23955961
2023-07-17,77.15,79.41,74.0,76.1,76.1,15984040
2023-07-18,75.93,76.24,73.03,73.16,73.16,11800674
2023-07-19,73.24,74.22,71.69,71.95,71.95,7667356
2023-07-20,72.0,72.27,68.38,68.53,68.53,9499010
2023-07-21,67.94,67.94,61.02,61.4,61.4,23817707
2023-07-24,61.0,63.09,60.29,61.2,61.2,10660464
2023-07-25,61.97,62.45,59.62,60.4,60.4,14043734
2023-07-26,60.57,61.0,58.8,59.15,59.15,9401267
2023-07-27,58.74,59.28,57.23,57.28,57.28,10507560
2023-07-28,57.1,58.0,56.71,56.86,56.86,8872094
2023-07-31,57.05,57.91,56.1,57.09,57.09,8467555
2023-08-01,57.12,58.95,55.7,58.94,58.94,15372734
2023-08-02,58.12,61.8,57.8,60.72,60.72,14966201
2023-08-03,60.1,64.31,60.09,63.29,63.29,15564696
2023-08-04,63.0,63.98,62.66,63.52,63.52,9343854
2023-08-07,63.3,64.98,63.0,64.4,64.4,8221161
2023-08-08,64.4,64.99,63.19,64.34,64.34,7102603
2023-08-09,64.3,64.56,61.0,61.0,61.0,10431557
2023-08-10,60.05,61.95,58.5,58.87,58.87,12208549
2023-08-11,59.18,59.57,55.2,55.27,55.27,17393423
2023-08-14,54.0,54.5,51.55,53.8,53.8,36189610
2023-08-15,54.72,54.92,52.16,52.6,52.6,23483995
2023-08-16,52.88,52.88,50.8,51.0,51.0,15233996
2023-08-17,51.0,51.6,50.0,50.68,50.68,17594691
2023-08-18,51.0,51.68,50.13,50.13,50.13,12253349
2023-08-21,50.12,51.87,49.41,50.34,50.34,15965909
2023-08-22,51.35,52.16,49.88,51.8,51.8,17767158
2023-08-23,51.52,51.52,49.68,49.9,49.9,13071491
2023-08-24,51.0,51.78,50.5,50.69,50.69,15157427
2023-08-25,50.81,51.73,49.31,49.66,49.66,14130097
2023-08-28,54.9,54.91,50.42,50.77,50.77,22187669
2023-08-29,50.5,53.49,49.98,53.02,53.02,25022450
2023-08-30,53.78,57.26,53.21,56.54,56.54,33565299
2023-08-31,55.92,62.3,55.19,59.19,59.19,39076383
2023-09-01,59.19,61.39,58.43,59.31,59.31,27377647
2023-09-04,59.96,61.23,58.58,61.1,61.1,22694765
2023-09-05,62.4,62.44,58.13,58.13,58.13,26112165
2023-09-06,57.9,60.48,57.6,60.0,60.0,22347129
2023-09-07,59.53,60.1,57.93,58.08,58.08,17864564
2023-09-08,57.51,59.4,57.2,57.24,57.24,15387387
2023-09-11,57.0,60.12,56.19,58.3,58.3,20974364
2023-09-12,57.98,58.57,56.72,56.76,56.76,14101761
2023-09-13,56.4,56.8,54.87,55.33,55.33,12681051
2023-09-14,55.49,55.6,53.25,53.69,53.69,12824006
2023-09-15,54.0,54.87,52.6,52.85,52.85,13064099
2023-09-18,52.09,53.56,51.95,52.95,52.95,10602954
2023-09-19,53.0,53.5,51.78,52.07,52.07,9249642
2023-09-20,52.0,53.48,51.28,51.39,51.39,9798317
2023-09-21,51.01,52.08,51.01,51.3,51.3,9551189
2023-09-22,51.2,54.46,51.1,54.26,54.26,24431858
2023-09-25,53.9,54.11,52.35,52.57,52.57,14840218
2023-09-26,52.66,55.11,52.43,53.46,53.46,18387565
2023-09-27,53.88,54.5,53.19,54.0,54.0,14060580
2023-09-28,54.27,54.59,53.11,53.98,53.98,14447341
2023-10-09,53.14,53.5,51.7,53.06,53.06,11534658
2023-10-10,53.58,54.6,53.21,53.94,53.94,13503757
2023-10-11,54.12,55.55,52.88,55.02,55.02,19630937
2023-10-12,55.22,55.5,53.87,55.0,55.0,15459879
2023-10-13,54.43,55.05,52.82,53.51,53.51,13710044
2023-10-16,53.1,53.47,50.88,51.89,51.89,14464690
2023-10-17,52.2,53.1,51.63,52.54,52.54,10768040
2023-10-18,55.3,57.46,54.55,55.51,55.51,49130438
2023-10-19,54.87,60.91,54.87,59.06,59.06,60219817
2023-10-20,59.06,60.7,57.58,59.22,59.22,40644610
2023-10-23,58.62,61.15,56.88,59.15,59.15,36385261
2023-10-24,59.3,59.55,55.0,57.16,57.16,32180626
2023-10-25,59.0,61.68,58.35,60.98,60.98,44095106
2023-10-26,59.95,60.6,58.67,60.1,60.1,31941875
2023-10-27,59.62,60.16,57.57,59.44,59.44,29334038
2023-10-30,59.1,62.98,58.23,62.8,62.8,37409232
2023-10-31,61.7,62.59,60.86,61.97,61.97,22353882
2023-11-01,61.73,67.5,61.44,64.8,64.8,39317556
2023-11-02,65.7,67.78,63.61,64.38,64.38,34430581
2023-11-03,63.65,66.77,63.38,66.65,66.65,32501165
2023-11-06,67.39,68.01,65.66,65.9,65.9,37886099
2023-11-07,65.9,68.76,64.9,67.97,67.97,37386826
2023-11-08,69.8,71.26,67.07,68.8,68.8,40571339
2023-11-09,68.01,69.5,64.8,65.0,65.0,39071914
2023-11-10,63.7,66.23,63.58,65.02,65.02,29612789
2023-11-13,64.84,66.4,64.11,65.4,65.4,21485736
2023-11-14,65.4,69.0,64.91,68.54,68.54,33887291
2023-11-15,69.23,69.83,66.82,67.42,67.42,23743132
2023-11-16,67.2,68.24,66.22,66.22,66.22,16405160
2023-11-17,65.85,67.22,64.83,66.12,66.12,15728419
2023-11-20,65.82,68.65,65.28,68.19,68.19,24774936
2023-11-21,67.85,68.58,66.8,67.1,67.1,15013298
2023-11-22,67.12,68.98,66.4,67.33,67.33,19263867
2023-11-23,67.15,67.67,64.11,67.31,67.31,19872869
2023-11-24,66.8,67.36,62.79,63.43,63.43,22285229
2023-11-27,64.0,67.35,63.71,67.31,67.31,31079351
2023-11-28,67.4,71.21,67.3,70.74,70.74,37897832
2023-11-29,70.06,73.18,70.06,70.6,70.6,36559280
2023-11-30,71.79,71.8,69.9,71.77,71.77,33999712
2023-12-01,71.2,73.46,70.89,71.9,71.9,25020241
2023-12-04,71.91,74.5,71.91,72.71,72.71,26240379
2023-12-05,71.55,74.28,70.37,72.85,72.85,33405194
