Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,68.19,68.78,66.1,67.34,67.34,2326104
2019-01-03,67.23,67.23,63.85,65.0,65.0,3254380
2019-01-04,64.02,66.34,64.01,65.48,65.48,2309155
2019-01-07,66.25,66.79,65.07,66.35,66.35,1882034
2019-01-08,66.0,66.8,65.11,65.35,65.35,1553431
2019-01-09,66.18,68.75,65.68,67.71,67.71,3143887
2019-01-10,67.19,67.78,66.05,66.57,66.57,2041060
2019-01-11,66.7,67.41,65.8,67.41,67.41,1252765
2019-01-14,66.74,67.38,65.82,66.93,66.93,1825749
2019-01-15,67.3,71.48,66.71,71.28,71.28,4318970
2019-01-16,70.98,71.98,70.41,71.81,71.81,2094974
2019-01-17,72.0,72.4,71.0,72.29,72.29,2010025
2019-01-18,72.69,73.66,71.7,72.15,72.15,2784149
2019-01-21,72.9,74.69,72.21,73.1,73.1,1940872
2019-01-22,72.88,73.29,71.5,72.2,72.2,1830246
2019-01-23,72.57,73.29,71.35,71.99,71.99,1750575
2019-01-24,72.02,72.96,71.15,72.45,72.45,2078425
2019-01-25,72.9,73.66,72.11,72.98,72.98,1464166
2019-01-28,73.29,75.2,71.93,72.59,72.59,2754072
2019-01-29,72.7,73.5,71.21,72.59,72.59,1976439
2019-01-30,72.59,73.38,71.7,72.47,72.47,1948148
2019-01-31,72.4,73.1,71.48,72.3,72.3,1884912
2019-02-01,73.0,73.98,72.61,73.95,73.95,2214223
2019-02-11,73.98,76.05,73.98,75.55,75.55,2646270
2019-02-12,75.77,76.36,74.74,75.4,75.4,2185362
2019-02-13,76.0,76.68,75.16,76.57,76.57,2152523
2019-02-14,76.39,77.0,75.55,76.8,76.8,2638048
2019-02-15,76.0,76.92,74.75,74.92,74.92,2645399
2019-02-18,77.0,77.26,75.58,76.74,76.74,3091930
2019-02-19,77.0,77.66,75.6,75.89,75.89,3203829
2019-02-20,76.7,77.0,73.86,74.3,74.3,4287847
2019-02-21,75.0,76.1,74.3,75.27,75.27,3163525
2019-02-22,74.99,75.88,74.08,75.88,75.88,2599447
2019-02-25,76.01,78.66,76.01,78.4,78.4,5628342
2019-02-26,77.51,78.5,76.47,76.47,76.47,4032527
2019-02-27,75.99,79.05,75.3,76.34,76.34,4901956
2019-02-28,76.3,77.05,75.02,76.68,76.68,3236436
2019-03-01,78.87,78.87,76.61,77.56,77.56,3681704
2019-03-04,78.0,79.61,77.0,78.6,78.6,6297112
2019-03-05,79.0,79.51,77.6,78.0,78.0,4441238
2019-03-06,77.9,78.41,76.51,77.3,77.3,3858159
2019-03-07,76.88,77.0,74.5,75.66,75.66,5114584
2019-03-08,74.66,75.5,74.0,74.85,74.85,3855664
2019-03-11,74.39,75.81,74.13,75.01,75.01,3305153
2019-03-12,75.7,76.5,73.52,74.25,74.25,4420216
2019-03-13,73.55,73.78,71.82,73.09,73.09,6164658
2019-03-14,73.0,74.88,72.3,74.16,74.16,3943950
2019-03-15,74.8,75.98,74.11,75.18,75.18,3238480
2019-03-18,75.26,80.2,75.26,79.88,79.88,5506115
2019-03-19,79.8,80.04,77.01,78.14,78.14,4275509
2019-03-20,78.02,80.18,77.5,78.55,78.55,3845966
2019-03-21,78.01,78.82,77.02,77.74,77.74,2870605
2019-03-22,77.8,78.6,76.81,77.81,77.81,2740207
2019-03-25,77.02,77.05,74.96,75.05,75.05,3500584
2019-03-26,76.23,79.5,76.23,77.5,77.5,6436926
2019-03-27,78.37,82.2,77.0,81.48,81.48,6869111
2019-03-28,82.0,83.28,80.68,82.53,82.53,4997708
2019-03-29,82.04,87.06,81.7,86.7,86.7,6614378
2019-04-01,88.82,88.82,84.6,86.54,86.54,7253788
